,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
641,2017,1780mm,White,81394,Manual,842000.0,SUV,4270mm,Hyundai,Petrol,chennai,5.0,Hyundai Creta,2,Third Party insurance,1591
642,2017,1730mm,Blue,64341,Manual,675000.0,Sedan,4490mm,Maruti,Petrol,chennai,5.0,Maruti Ciaz,1,Third Party insurance,1373
643,2017,1660mm,Silver,33407,Manual,518000.0,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,1,Comprehensive,1197
644,2021,1574mm,Blue,14811,Manual,397000.0,Hatchback,3435mm,Datsun,Petrol,chennai,5.0,Datsun RediGO,1,Comprehensive,799
645,2017,1699mm,Grey,37000,Manual,775000.0,Sedan,4413mm,Skoda,Petrol,chennai,5.0,Skoda Rapid,1,Comprehensive,1598
646,2017,1818mm,Red,49326,Manual,1166000.0,SUV,4395mm,Jeep,Diesel,chennai,5.0,Jeep Compass,2,Third Party,1956
647,2009,1845mm,Others,120000,Manual,450000.0,Sedan,4950mm,Honda,Petrol,chennai,5.0,Honda New Accord,3,Third Party insurance,2354
648,2022,1677,Red,4939,Automatic,732000.0,Hatchback,3802mm,Tata,Petrol,chennai,5.0,Tata Tiago NRG,1,Zero Dep,1199
649,2014,1765mm,White,82620,Automatic,577000.0,SUV,3999mm,Ford,Petrol,chennai,5.0,Ford Ecosport,1,Comprehensive,1499
650,2009,1817mm,Red,60000,Manual,600000.0,Sedan,4838mm,Skoda,Petrol,chennai,5.0,Skoda Superb,2,Third Party insurance,1798
651,2015,1682mm,Blue,86857,Manual,509999.99999999994,Hatchback,3971mm,Volkswagen,Diesel,chennai,5.0,Volkswagen Polo,1,Third Party insurance,1498
652,2010,1770mm,Others,70000,Automatic,900000.0,Sedan,4591mm,Mercedes-Benz,Diesel,chennai,5.0,Mercedes-Benz C-Class,3,Third Party insurance,2143
653,2012,2177mm,Gray,120000,Automatic,1500000.0,SUV,5089mm,Audi,Diesel,chennai,7.0,Audi Q7,2,Third Party insurance,4134
654,2022,1620mm,Grey,14483,Automatic,625000.0,Hatchback,3655mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,1,Third Party,998
655,2022,1790mm,Black,19000,Manual,1275000.0,SUV,4300mm,Hyundai,Diesel,chennai,5.0,Hyundai Creta,1,Comprehensive,1493
656,2016,1695mm,Golden,36202,Manual,395000.0,Hatchback,3886mm,Ford,Petrol,chennai,5.0,Ford Figo,1,Comprehensive,1196
657,2017,1635mm,Others,30000,Manual,320000.0,MUV,3995mm,Datsun,Petrol,chennai,7.0,Datsun GO Plus,1,Third Party insurance,1198
658,2017,1695mm,Black,70000,Manual,450000.0,Hatchback,3886mm,Ford,Diesel,chennai,5.0,Ford Figo,1,Third Party insurance,1498
659,2022,1770mm,Others,20000,Manual,1085000.0,SUV,3995mm,Hyundai,Petrol,chennai,5.0,Hyundai Venue,1,Third Party insurance,998
660,2021,1574mm,Red,24077,Manual,400000.0,Hatchback,3435mm,Datsun,Petrol,chennai,5.0,Datsun RediGO,1,Comprehensive,799
661,2012,1690mm,Black,81985,Manual,484999.99999999994,Sedan,4160mm,Maruti,Diesel,chennai,5.0,Maruti Swift Dzire,1,Comprehensive,1248
662,2020,1735 mm,Others,30000,Automatic,985000.0,MUV,4395 mm,Maruti,Petrol,chennai,7.0,Maruti Ertiga,2,Third Party insurance,1462
663,2017,1695mm,Red,91841,Manual,681000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,1,Third Party insurance,1497
664,2016,1765mm,Brown,64961,Automatic,621000.0,SUV,3999mm,Ford,Petrol,chennai,5.0,Ford Ecosport,3,Third Party insurance,1499
665,2018,1515mm,Red,20950,Automatic,409999.99999999994,Hatchback,3545mm,Maruti,Petrol,chennai,5.0,Maruti Alto K10,1,Comprehensive,998
666,2016,1734mm,Red,94348,Manual,505000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,2,Comprehensive,1197
667,2022,1770mm,White,32000,Manual,1290000.0,SUV,3995mm,Hyundai,Diesel,chennai,5.0,Hyundai Venue,1,Comprehensive,1493
668,2019,1734mm,Red,51744,Manual,708000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Third Party insurance,1197
669,2020,1890mm,Silver,81152,Automatic,1734000.0,SUV,4585mm,Mahindra,Diesel,chennai,7.0,Mahindra XUV500,2,Comprehensive,2179
670,2018,1695mm,Red,19516,Manual,650000.0,Sedan,3995mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1199
671,2021,1695mm,White,29093,Manual,760000.0,Hatchback,3850mm,Maruti,Petrol,chennai,5.0,Maruti Swift,1,Comprehensive,1197
672,2018,1695mm,Silver,54408,Automatic,785000.0,Sedan,3995mm,Honda,Diesel,chennai,5.0,Honda Amaze,1,Third Party insurance,1498
673,2019,1745mm,Blue,16000,Manual,745000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,1,Comprehensive,1197
674,2018,1860mm,Others,100000,Automatic,2000000.0,SUV,4892mm,Ford,Diesel,chennai,7.0,Ford Endeavour,1,Third Party insurance,2198
675,2016,1560mm,Grey,56876,Manual,270000.0,Hatchback,3429mm,Datsun,Petrol,chennai,5.0,Datsun RediGO,1,Comprehensive,799
676,2014,1682mm,Blue,50000,Manual,450000.0,Hatchback,3970mm,Volkswagen,Diesel,chennai,5.0,Volkswagen Polo,1,Third Party insurance,1199
677,2015,1695mm,TITANIUM GREY,84505,Manual,420000.0,Sedan,3995mm,Honda,Petrol,chennai,5.0,Honda Amaze,2,Comprehensive,1199
678,2021,1830,Silver,34000,Automatic,2790000.0,MUV,4735,Toyota,Diesel,chennai,7.0,Toyota Innova Crysta,1,Comprehensive,2393
679,2020,1620 mm,Brown,22305,Manual,550000.0,Hatchback,3655 mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,1,Comprehensive,998
680,2019,1579mm,Silver,33573,Manual,421000.0,Hatchback,3679mm,Renault,Petrol,chennai,5.0,Renault KWID,1,Comprehensive,999
681,2019,1560mm,Silver,33615,Manual,303000.0,Hatchback,3429mm,Datsun,Petrol,chennai,5.0,Datsun RediGO,1,Third Party,799
682,2018,1694 mm,Others,30000,Automatic,780000.0,Hatchback,3955 mm,Honda,Petrol,chennai,5.0,Honda Jazz,2,Third Party insurance,1199
683,2020,1677mm,White,34935,Manual,643000.0,Sedan,3992mm,Tata,Petrol,chennai,5.0,Tata Tigor,1,Comprehensive,1199
684,2018,1600mm,Orange,66511,Automatic,474000.0,Hatchback,3695mm,Maruti,Petrol,chennai,5.0,Maruti Celerio,2,Comprehensive,998
685,2021,1825mm,White,24000,Automatic,4200000.0,Sedan,4850mm,Toyota,Petrol,chennai,5.0,Toyota Camry,1,Comprehensive,2494
686,2017,1735mm,Blue,68979,Manual,644000.0,Sedan,3995mm,Maruti,Petrol,chennai,5.0,Maruti Swift Dzire,1,Comprehensive,1197
687,2021,1735 mm,Gray,50000,Manual,1200000.0,MUV,4395 mm,Maruti,Petrol,chennai,7.0,Maruti Ertiga,1,Third Party insurance,1462
688,2019,1495mm,Orange,45161,Automatic,519000.00000000006,Hatchback,3599mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,2,Comprehensive,998
689,2018,1765mm,Blue,42917,Manual,811000.0,SUV,3998mm,Ford,Diesel,chennai,5.0,Ford Ecosport,1,Comprehensive,1498
